,Episode Number,Title,Plot,Release Date,Average Rating
671,672,Saigo no Hikari: Warera ga Taichou no Himitsu!,"While the situation of the rebellion is getting more and more critical, Leo reveals to Usopp an important secret about their captain and the reason why their plan must not fail.","Sun, Nov 30, 2014",7.8
672,673,Panku Ningen: Gladius Dai Bakuhatsu!,"Thunder Soldier, Kabu and Rampo progress through the castle. In the trading port, Leo tries once again to poison Sugar but her toys attack him and the dwarf army.","Sun, Dec 7, 2014",7.7
673,674,Usotsuki Usoland Tousouchuu!,"Usopp gives up on running and decides to fight for the dwarf army, attacking Trebol with a Shuriken Star.","Sun, Dec 14, 2014",7.9
674,675,Unmei no Deai: Kyros to Riku Ou,"Usopp faces Trebol, the Thunder Soldier recalls his time as Kyros. After much time as a gladiator, Kyros manages to become King Riku's captain of his guard and later marries his eldest daughter Scarlett and they together conceive Rebecca.","Sun, Dec 21, 2014",8.4
675,676,Sakusen Shippai! Eiyuu Usoland Shisu!?,"Ten years ago, when Dressrosa is attacked by the Donquixote Pirates, Kyros rushes to the palace to see what's happening. He is ambushed by the pirates and chained to the ground as Doflamingo presents himself.","Sun, Dec 28, 2014",8.6
676,677,Densetsu Fukkatsu! Kyros Konshin no Ichigeki,"As an unconscious Sugar falls to the ground, the toys in Dressrosa begin reverting to their human forms, to the shock of the humans around them. Meanwhile, Kyros, finishes what he started 10 years ago by cutting off Doflamingo's head.","Sun, Jan 11, 2015",9.3
677,678,Kaken Sakuretsu! Fukkatsu Meramera no Mi no Chikara,The final Colosseum round continues as Rebecca finally remembers her father. Sabo destroys the Colosseum with his Dragon Claw Fists before leaping at the Fighting Fish bearing the Mera Mera no Mi.,"Sun, Jan 18, 2015",9.3
678,679,Sassou Toujou: Kakumeigun Sanbou Souchou Sabo!,"The mysterious 'Lucy' finally reveals his identity, while chaos continues at the trade port and in all of Dressrosa.","Sun, Jan 25, 2015",8.4
679,680,Akuma no Wana: Dressrosa Senmetsu Sakusen,"Doflamingo unleashes his Birdcage, sealing the entire island in strings. The strings then latch onto people and take control of them, forcing them to attack each other.","Sun, Feb 1, 2015",8.6
680,681,Go-oku no Otoko: Nerawareta Usoland!,"As citizens and Marines are forced to attack each other in the streets of Dressrosa, Doflamingo reveals to the island a hit list on the Straw Hat Pirates and their allies.","Sun, Feb 8, 2015",8.1
681,682,Tekijin Toppa: Luffy Zoro Hangeki Kaishi,Sabo and Koala separate from Nico Robin's group and head in separate directions as Robin decides to move toward the palace.,"Sun, Feb 15, 2015",7.6
682,683,Daichi Meidou: Hakai Kami Kyoudai Pica Kourin,"Luffy and Zoro face off against Fujitora to get to Doflamingo. At the palace, Pica wishes to take the enemies out alone, but his high-pitched voice causes some of the subordinates to giggle, resulting in their deaths.","Sun, Mar 1, 2015",8.0
683,684, Daishuuketsu! Luffy to Kyouaku Senshi Gundan,Luffy and Law survive Pica's punch and are found by the fighters from the Colosseum. They all fight over who will kill Doflamingo and then join up together to begin the fight against Pica.,"Sun, Mar 15, 2015",7.8
684,685, Kaishingeki! Luffy Gundan vs Pica!,"After destroying Pica's arm, Chinjao and Elizabello II along with other Colosseum fighters proceed to decimate Doflamingo's soldiers.","Sun, Mar 22, 2015",8.1
685,686,Shougeki Kokuhaku! Law Atsuki Tamashii no Chikai!,Law reveals what happened 13 years ago. Robin's group reaches Viola and Doldo's location and plan their next plan.,"Sun, Mar 29, 2015",7.9
686,687, Daigekitotsu! Sanbou Souchou Sabo vs Taishou Fujitora,Luffy's group reaches the first level of the castle while the Marines and Fujitora are held off by Sabo who easily overwhelms Vice Admiral Bastille.,"Sun, Apr 5, 2015",8.6
687,688, Zettaizetsumei: Wana ni Kakatta Luffy!,"At the plateau, Bartolomeo, Robin and Rebecca continue travelling to the flower field with the aid of Leo's beetles. Back in the tunnel, Luffy and Law get caught in a trap.","Sun, Apr 12, 2015",7.7
688,689, Daidasshutsu! Luffy Kishikaisei no Elephant Gun,Doflamingo's ambush for Luffy and Law is cut short when he is skewered by Abdullah and Jeet only to be exposed as another string clone. The two captains then learn how Kelly Funk betrayed them only to be betrayed by Doflamingo in return.,"Sun, Apr 19, 2015",7.9
689,690, Kyoudousensen: Luffy Shouri e no Toppakou,"The Colosseum fighters are struggling against the elite officers while Cavendish offers Luffy and Law a ride to the palace. Kyros joins Luffy's party, and they arrive at the battle taking place in the palace's plateau.","Sun, Apr 26, 2015",7.5
690,691,Futarime no Samurai: Yuudachi Kanjuurou Toujou,"At the new palace tower, the Colosseum fighters are still clashing with the Donquixote Pirates allowing Luffy, Law, Kyros and Cavendish to escape towards the third level in order to reach level four.","Sun, May 3, 2015",7.5
691,692,Funtou to no Pica: Zoro Ichi Todome no Ichigeki,"Zoro continues his duel with Pica allowing Robin's group to advance. At the SMILE factory, the dwarf army continues their revolt.","Sun, May 10, 2015",8.3
692,693,Kobito no Hime: Toraware no Mansherry,"Having fooled Senor Pink, Franky arrives at the SMILE factory. Kin'emon and Kanjuro arrive at Viola's location.","Sun, May 17, 2015",7.4
693,694,Fujimi! Kyoufu no Atamawari Ningyou Gundan,"Viola discovers Mansherry's whereabouts and sends the info to Leo. Meanwhile, Luffy's group fight against the giant nutcrackers.","Sun, May 24, 2015",7.3
694,695,Inochi Kakete! Luffy wa Shouri no Kirifuda,Rebecca reaches the flower field. Leo and Kabu leave to rescue Mansherry. Sabo continues his fight with Fujitora.,"Sun, May 31, 2015",8.0
695,696,Namida no Saikai: Rebecca to Kyros,"Luffy and Law reach the flower field and continue towards the palace. However, Sugar is heading for them, eager to turn the two into toys and gain revenge.","Sun, Jun 7, 2015",8.4
696,697,Ichigeki Hissatsu: Dressrosa o Sukuu Otoko,"Usopp, with the help of Violet, aims at Sugar intending to take her down before she turns Luffy and Law into toys.","Sun, Jun 14, 2015",9.1
697,698,Ikari Bakuhatsu: Luffy Law Saikyou no Hisaku,The battle between Robin's group and the nutcracker army comes to a stop as the toys revert into their human selves due to Sugar being knocked unconscious again. Luffy and Law begin their fight with Doflamingo.,"Sun, Jun 21, 2015",9.3
698,699,Kedakaki Ichizoku! Doflamingo no Shoutai!,"Doflamingo recovers from Luffy's Red Hawk and continues his fight with him and Law. Sabo and Fujitora end their fight, calling it a draw.","Sun, Jun 28, 2015",9.1
699,700,Kyuukyoku no Chikara: Op-Op no Jitsu no Himitsu!,The Marines are having difficulty maintaining order in the streets of Dressrosa as they deal with rampaging animals and pillaging pirates as well as the absence of Admiral Fujitora.,"Sun, Jul 5, 2015",8.9
700,701,Kanashiki Kioku: Shiroi Machi no Shounen Law!,The history of Flevance is revealed as Law's history prior to joining the Donquixote Pirates is explored.,"Sun, Jul 12, 2015",9.2
701,702, Tenryuubito! Doffy no Souzetsu Naru Kako,"Doflamingo has a nightmare of his traumatic past. A flashback details the moment his parents left Mary Geoise, to when they became hunted and the death of Doflamingo and Rosinante's mother.","Sun, Jul 19, 2015",9.1
702,703,Kunan no Michi: Law to Corazon Inochi no Tabi,"Corazon talks to Law about the name ""D."" and states that they are considered troublesome by most. He also tells Law about his ulterior motives without exposing his relation to the marines.","Sun, Aug 2, 2015",9.3
703,704,Toki Sameru! Op-Op no Mi o Ubae!,Donquixote Rosinante learns of his brother's intentions of stealing the Ope Ope no Mi and having him eat it. He resolves to steal it himself in order to have Trafalgar Law cured.,"Sun, Aug 9, 2015",9.2
704,705,Kakugo no Toki: Corazon Wakare no Egao!,"Corazon force-feeds Law the Ope Ope no Mi and has him deliver an important message to the Marines, but Law mistakenly gives the message to Vergo who informs Doflamingo of his treachery.","Sun, Aug 16, 2015",9.3
705,706,Yuke Law: Yasashiki Otoko Saigo no Tatakai!,"After recalling how he killed his father and met his executives as a child, Donquixote Doflamingo confronts his brother, Rosinante.","Sun, Aug 23, 2015",9.5
706,707,Jiyuu e! Law Injection Shot Sakuretsu,"Law clashes with Doflamingo, taunting him about the ""D"". Meanwhile, Luffy struggles against Doflamingo's Black Knight clone and a controlled Bellamy.","Sun, Aug 30, 2015",8.3
707,708,Atsuki Tatakai: Law vs Doflamingo,"Zoro and Pica continue their fight with Pica getting larger. Meanwhile, Doflamingo cuts of Law's arm as Luffy finally defeats the clone.","Sun, Sep 6, 2015",9.1
708,709,Kanbu Kessen: Hokori Takaki Hajrudin,"The Colosseum combatants then manage to gain the upper hand, starting with Machvise being defeated by Hajrudin.","Sun, Sep 13, 2015",7.8
709,710,Ai no Kessen: Shintouryou Sai tai Baby 5,"Monkey D. Luffy and Bellamy continue their confrontation. Meanwhile, Lao G defeats Chinjao, but Sai, now officially the head of the Happo Navy, defeats Lao G with the technique he inherited from his grandfather.","Sun, Sep 20, 2015",8.1
710,711,Otoko no Iji: Bellamy Saigo no Totsugeki!,Donquixote Doflamingo and Trebol defeat Law while Gladius attacks Cavendish. Luffy tries to convince Bellamy to stop attacking him.,"Sun, Sep 27, 2015",7.8
711,712, Shippuudotou: Hakuba tai Dellinger,"Cavendish survives Gladius's Punk Rock Fest. Gladius is knocked out by Bartolomeo's Barrier Bulls. Dellinger defeats Ideo but is in turn defeated by Hakuba, who proceeds to attack Nico Robin.","Sun, Oct 4, 2015",8.3
712,713,Baribari: Homage Shinken Hatsudou!,"Gladius attempts to blow up both Nico Robin and Cavendish by rupturing the cliff-side they are on, but Cavendish manages to carry Robin to safety using Hakuba's speed.","Sun, Oct 11, 2015",8.7
713,714,Iyashi no Hime: Mansherry o Sukue!,"Giolla attempts to heal the fallen Donquixote Pirates executives with Mansherry's healing powers, but Leo defeats her while saving the princess. Meanwhile, Luffy continues to fight Bellamy.","Sun, Oct 18, 2015",7.7
714,715,Otoko no Kettou: Senor Ai no Banka,"Leo, Mansherry, and Kabu escape the palace as Giolla fails to inform Doflamingo of Mansherry's rescue.","Sun, Oct 25, 2015",9.1
715,716,Shi no Hoshikuzu: Diamante Moukou no Arashi,"Senor Pink is defeated by Franky, who leads the dwarf army to attack the SMILE Factory before collapsing. Meanwhile, Kyros battles Diamante and endures his Death Enjambre.","Sun, Nov 1, 2015",8.8
716,717,Trueno Bastardo: Kyros Ikari no Ichigeki,"Kyros continues his grueling battle with Diamante before finally defeating him. As the citizens celebrate, Pica abandons his fight with Roronoa Zoro to confront Kyros.","Sun, Nov 8, 2015",8.7
717,718,Daichi Oudan: Kyozou Pica Kishuu Sakusen!,"As Luffy continues to fight Bellamy, Pica advances toward the King's Plateau in his giant stone body in an attempt to kill King Riku, forcing Roronoa Zoro to come up with a plan to stop him.","Sun, Nov 15, 2015",8.4
718,719,Kuuchuu Kessen: Zoro Shin Hissastsu Ougi Sakuretsu!,"Pica reaches and attacks the King's Plateau, but Roronoa Zoro slashes apart his stone body and cuts him down with Sanzen Sekai.","Sun, Nov 22, 2015",9.4
719,720,Abayo! Bellamy Wakare no Ichigeki!,"Mansherry meets Kyros, who tells her to use her healing powers on those who need it more than he does. The SMILE Factory is destroyed by the dwarf army, and Sabo prepares to meet Luffy at the palace.","Sun, Nov 29, 2015",9.0
720,721,Law Shisu: Luffy Fundo no Moukougeki!,"Riku gathers more people to help the citizens, Luffy makes it back to the rooftop, where he attacks Doflamingo.","Sun, Dec 6, 2015",9.0
721,722,Shuunen no Yaiba: Gyakushuu no Gamma Knife!,"Doflamingo shrinks the Birdcage, causing the citizens of Dressrosa to run away in panic. Luffy fights Doflamingo, but Law switches places with him in order to land his Gamma Knife attack.","Sun, Dec 13, 2015",9.2
722,723,Haki Gekitotsu: Luffy tai Doflamingo,"Doflamingo uses his powers to heal himself and attack Law. Luffy stops Doflamingo, and the two clash using Haoshoku Haki. During the battle, Trebol remembers how he found a young Doflamingo and gave him the power to kill anyone he wanted.","Sun, Dec 20, 2015",9.4
723,724,Kougeki Funou: Trebol Shougeki no Himitsu,"Trebol immobilizes Luffy and Law and explains how he and the other three Donquixote executives found Doflamingo and raised him into the man he is today. Law mocks Trebol, causing the executive to attack him in anger.","Sun, Dec 27, 2015",9.0
724,725,Ikari Bakuhatsu: Ore ga Zenbu Hikiukeru,"Cavendish shows up just in time to stop Doflamingo's attack from hitting Robin, allowing Luffy to focus on fighting Doflamingo as Cavendish flees the plateau with everybody.","Sun, Jan 10, 2016",9.3
725,726,Gear Fourth! Kyoui no Bounce Man!,Luffy casts off his sandals and activates Gear Fourth. His body changes with a ballooned torso covered with tribal like markings and coated with Busoshoku Haki.,"Sun, Jan 17, 2016",9.6
726,727, Daigyakushuu! Doflamingo no Kakusei!,"Zoro and others head off to stop the Birdcage as Luffy continues battling Doflamingo. However, he reveals that his Devil Fruit has awakened, and he overwhelms Luffy by turning the surrounding area into string.","Sun, Jan 24, 2016",8.8
727,728,Luffy! Konshin no Leo Bazooka,"Luffy uses up too much Haki causing Gear Forth to end before dealing the final blow. Meanwhile, the citizens of Dressrosa run away from the shrinking Birdcage in hopes of protecting their lives.","Sun, Jan 31, 2016",9.2
728,729,Kaen Ryuuou: Luffy no Inochi o Mamorinuke,Luffy runs out of Haki. Gyats of the Colosseum helps him to get way from Doflamigo for 10 minutes so that he can regain Haki.,"Sun, Feb 14, 2016",8.7
729,730,Kiseki no Namida: Mansherry no Tatakai!,All the gladiators from the Colosseum get recovered by Mansherry's healing ability and they start stopping the bird cage along with Zoro and the others which has fastened up.,"Sun, Feb 21, 2016",7.8
730,731,Inochi no Kagiri: Shi no Tori Kago o Tomero!,"The Marines and citizens on Dressrosa take part in the effort to halt the Birdcage, and briefly manage to bring it to a standstill.","Sun, Feb 28, 2016",7.6
731,732,Sei ka Shi ka: Unmei no Countdown,Luffy regains his Haki and appears before Doflamingo.,"Sun, Mar 6, 2016",8.0
732,733,Ten o Utsu: Luffy Ikari no King Kong Gun,"In order to defeat Doflamingo with a single blow, Luffy unleashes all his power in a punch... The King Kong Gun.","Sun, Mar 20, 2016",9.3
733,734,Jiyuu e! Yorokobi no Dressrosa!,"Luffy finally defeated the evil Doflamingo, and the kingdom of Dressrosa is overfilled with joy!","Sun, Mar 27, 2016",7.7
734,735, Zendaimimon: Taishou Fujitora Shougeki no Ketsudan!,"Admiral Fujitora apologizes and confesses to King Riku about the seven warlord system in front of the video transponder snail, hence being witnessed by 3 nearby countries.","Sun, Apr 3, 2016",8.4
